Region,Product_Category,Warehouse_Type,Supplier_Type,Transportation_Mode,Demand_Level_Category,Inventory_Status,Demand_Units,Forecasted_Demand_Units,Inventory_Level_Units,Reorder_Point,Lead_Time_Days,Transportation_Cost_USD,Holding_Cost_USD,Stockout_Incidents,Order_Fulfillment_Time_Days,Supplier_Reliability_Score,Demand_Forecast_Accuracy,Inventory_Turnover_Ratio,Supply_Chain_Efficiency_Index,Inventory_Risk_Score,Logistics_Performance_Index
West,Apparel,Central,Local,Air,High,Stockout Risk,2012,2200.0,1183.0,1683,9.08,4947.52,1255.82,9,2.75,92.2,90.66,1.7,72.03,42.82,82.04
East,Electronics,Central,Local,Road,Low,Optimal,1035,925.0,1279.0,597,10.86,2352.08,2297.49,3,6.29,86.64,89.37,0.81,79.98,25.11,78.6
East,FMCG,Regional,Local,Road,Medium,Stockout Risk,603,555.0,596.0,477,2.91,923.7,856.2,5,2.58,85.63,92.04,1.01,79.93,22.76,88.64
East,FMCG,Regional,Distributor,Road,Low,Overstocked,1115,1210.0,1525.0,912,6.0,1796.43,1029.68,1,4.9,81.46,91.48,0.73,85.26,12.74,80.96
East,FMCG,Regional,Local,Sea,High,Optimal,2890,3483.0,2091.0,2236,19.89,3270.27,3864.91,1,15.2,78.23,79.48,1.38,69.95,31.43,56.38
South,Apparel,Local,Local,Road,Medium,Optimal,1295,1387.0,1360.0,1094,10.2,2951.81,1620.86,1,5.49,87.89,92.9,0.95,86.78,16.38,79.35
East,Industrial Supplies,Central,International,Road,Medium,Optimal,1591,1531.0,1879.0,1082,13.3,2368.65,3234.28,2,9.42,90.59,96.23,0.85,82.46,21.48,73.49
West,Apparel,Regional,Local,Road,Medium,Overstocked,908,1018.0,1344.0,807,5.05,1067.43,1153.09,0,2.98,78.05,87.89,0.68,87.29,9.9,85.27
West,Apparel,Local,Local,Road,Medium,Overstocked,1024,918.0,1644.0,1004,16.37,2345.01,903.02,1,5.66,78.2,89.65,0.62,83.05,23.84,77.34
South,FMCG,Regional,International,Sea,Medium,Optimal,1606,1404.0,1205.0,1162,25.25,4658.02,2270.89,0,17.11,64.98,87.42,1.33,69.73,30.28,45.75
West,Industrial Supplies,Regional,Distributor,Air,Medium,Optimal,1100,987.0,1325.0,930,6.82,2750.34,2416.52,2,3.02,86.05,89.73,0.83,85.45,17.6,84.15
East,Industrial Supplies,Local,Local,Air,Medium,Optimal,993,884.0,807.0,744,7.05,3989.55,695.81,1,2.06,83.04,89.02,1.23,87.63,14.77,82.63
North,Apparel,Regional,Distributor,Road,Low,Overstocked,719,741.0,1245.0,678,15.85,1298.62,1107.63,0,8.82,79.83,96.94,0.58,85.07,17.07,73.65
North,Home Goods,Regional,Distributor,Road,High,Overstocked,1543,1581.0,1804.0,1222,5.63,2326.63,3515.66,2,4.25,68.24,97.54,0.86,82.5,13.28,77.21
North,Electronics,Central,Local,Road,Low,Stockout Risk,223,265.0,111.0,336,10.88,378.77,175.63,2,8.08,72.17,81.17,2.01,73.93,25.08,74.72
West,FMCG,Central,Local,Air,High,Overstocked,2039,2140.0,3586.0,1169,7.31,7183.31,5928.6,1,4.12,97.77,95.05,0.57,91.37,12.62,76.4
West,Home Goods,Regional,Distributor,Road,Medium,Optimal,1423,1421.0,1601.0,836,11.89,1702.3,2982.51,1,6.52,87.12,99.86,0.89,87.99,15.28,79.61
West,Home Goods,Regional,International,Road,Low,Optimal,585,687.0,533.0,763,20.31,626.0,814.98,0,11.95,77.06,82.56,1.1,76.21,27.28,67.94
West,Electronics,Local,Local,Sea,High,Stockout Risk,2453,3179.0,1770.0,2539,14.14,6975.24,1004.27,5,9.2,74.22,70.4,1.39,62.88,42.65,59.6
South,Apparel,Central,Distributor,Road,Low,Overstocked,621,595.0,777.0,726,16.47,928.06,1762.32,2,12.03,94.21,95.81,0.8,80.61,24.81,72.3
South,FMCG,Regional,Distributor,Sea,Low,Optimal,1458,1577.0,1535.0,1076,14.97,4320.74,2347.84,1,7.31,78.38,91.84,0.95,82.21,21.57,70.06
North,Home Goods,Local,Local,Road,Medium,Optimal,669,467.0,645.0,541,14.08,1024.88,656.24,2,5.88,78.59,69.81,1.04,73.76,32.82,79.72
East,Home Goods,Central,Local,Road,Low,Overstocked,815,744.0,1087.0,632,11.93,973.34,2155.49,0,5.05,69.7,91.29,0.75,84.33,15.41,78.82
East,Home Goods,Regional,International,Sea,Low,Optimal,599,627.0,547.0,603,24.03,1021.44,739.66,2,11.48,91.81,95.33,1.1,80.39,32.57,72.49
West,Electronics,Local,Distributor,Road,High,Overstocked,808,874.0,1267.0,628,4.89,1627.15,1850.36,0,2.01,74.82,91.83,0.64,88.84,8.16,85.1
North,Industrial Supplies,Central,International,Road,Low,Optimal,680,711.0,568.0,730,20.79,1552.55,483.04,1,9.72,79.5,95.44,1.2,81.34,25.95,71.23
North,Home Goods,Local,Local,Sea,High,Optimal,969,1147.0,1079.0,941,9.25,2158.55,1586.38,3,6.45,82.7,81.63,0.9,76.13,26.6,77.5
East,Electronics,Central,Distributor,Road,Low,Optimal,1139,1307.0,808.0,1021,7.35,2243.5,888.08,2,5.94,72.53,85.25,1.41,77.59,19.92,75.29
East,Apparel,Local,Distributor,Road,Medium,Optimal,1172,1227.0,860.0,1025,6.49,2781.27,1345.76,1,3.24,73.73,95.31,1.36,86.33,11.7,79.95
North,Industrial Supplies,Central,Local,Sea,High,Optimal,1616,1570.0,1203.0,1368,10.25,3719.86,2305.88,0,5.39,83.96,97.15,1.34,89.6,11.39,76.8
East,FMCG,Local,Local,Road,Medium,Stockout Risk,1115,1181.0,621.0,789,4.85,1531.88,545.76,3,1.88,89.51,94.08,1.8,86.76,17.22,89.96
West,Apparel,Regional,Local,Road,Low,Optimal,484,506.0,553.0,446,4.2,825.35,849.05,3,2.59,73.62,95.45,0.88,82.56,16.02,85.22
North,Electronics,Local,Local,Road,High,Optimal,2263,2407.0,3003.0,1925,17.85,3606.26,3189.84,3,8.91,96.52,93.64,0.75,81.33,30.4,73.76
South,FMCG,Regional,International,Air,Medium,Stockout Risk,2077,1874.0,1291.0,1666,24.15,7956.78,2425.72,4,14.39,64.18,90.23,1.61,64.35,41.39,44.2
East,Industrial Supplies,Central,Distributor,Sea,High,Optimal,2655,2021.0,3109.0,1721,25.68,5096.49,3412.54,2,15.33,68.05,76.12,0.85,63.88,41.9,49.33
West,FMCG,Local,Local,Sea,High,Stockout Risk,2630,3126.0,1994.0,2431,17.68,6904.59,1411.79,5,11.34,70.13,81.14,1.32,63.48,41.89,54.24
South,Home Goods,Regional,Distributor,Road,Low,Overstocked,759,914.0,1218.0,803,13.37,1357.92,809.8,0,10.32,96.74,79.58,0.62,81.72,21.54,75.6
West,Industrial Supplies,Central,Local,Road,Medium,Optimal,797,791.0,973.0,723,16.82,1911.59,709.05,1,5.94,85.31,99.25,0.82,87.9,20.45,79.8
North,FMCG,Local,Distributor,Sea,High,Optimal,2542,2455.0,2035.0,1385,6.48,5571.42,1913.94,0,3.85,72.16,96.58,1.25,87.99,7.85,72.55
North,FMCG,Local,Local,Sea,High,Stockout Risk,3850,3888.0,2892.0,3319,19.22,12835.99,2053.73,4,12.07,96.56,99.01,1.33,77.83,32.95,48.58
West,FMCG,Central,International,Sea,Medium,Overstocked,1187,1247.0,2337.0,1134,24.96,2050.75,3984.27,0,16.31,90.28,94.95,0.51,79.49,26.98,60.27
East,FMCG,Local,Local,Sea,Low,Stockout Risk,954,996.0,264.0,931,25.2,3055.51,359.14,2,15.61,99.0,95.6,3.61,78.16,33.63,62.23
East,FMCG,Central,International,Sea,Medium,Stockout Risk,2080,2050.0,1697.0,1680,15.06,3455.59,2003.52,5,10.05,93.38,98.56,1.23,76.68,32.3,70.85
North,Electronics,Local,Local,Road,Medium,Optimal,914,831.0,645.0,711,14.73,1038.59,406.05,2,5.86,70.67,90.92,1.42,79.19,25.03,77.36
West,Electronics,Local,Local,Sea,Medium,Optimal,1695,1574.0,1544.0,1204,12.12,5186.47,2021.38,1,9.98,95.68,92.86,1.1,84.22,18.31,68.14
West,Industrial Supplies,Regional,International,Road,Medium,Optimal,1171,1079.0,1370.0,696,14.71,1659.88,2494.67,0,7.41,72.26,92.14,0.85,82.9,17.85,73.46
East,Electronics,Central,Local,Road,Medium,Optimal,1050,1024.0,1334.0,603,10.09,1465.98,2548.87,1,6.62,90.29,97.52,0.79,87.86,14.41,80.85
South,FMCG,Local,Distributor,Air,Medium,Overstocked,1544,1502.0,1983.0,909,8.89,7472.04,2248.26,1,3.63,97.99,97.28,0.78,92.69,13.31,76.86
East,Home Goods,Central,Distributor,Air,Medium,Optimal,1187,1226.0,1596.0,1094,6.77,2620.12,2488.96,2,4.22,72.95,96.71,0.74,83.42,14.75,78.09
South,Home Goods,Regional,Local,Road,Low,Optimal,732,558.0,519.0,430,13.73,868.45,870.35,0,8.23,96.64,76.23,1.41,82.61,23.24,80.76
West,Electronics,Central,International,Road,Medium,Optimal,545,598.0,427.0,715,20.11,1096.15,295.75,2,12.34,92.27,90.28,1.28,77.88,30.67,70.76
South,FMCG,Local,Local,Road,Low,Overstocked,593,591.0,956.0,522,10.42,1150.18,1192.72,0,3.16,99.0,99.66,0.62,96.47,10.55,91.03
South,FMCG,Local,International,Road,Medium,Optimal,1607,1607.0,1753.0,967,10.72,2849.48,971.92,1,5.4,87.85,100.0,0.92,89.34,14.05,79.73
East,Electronics,Regional,Local,Air,Low,Optimal,867,956.0,946.0,586,12.93,3007.61,1448.87,2,4.78,85.81,89.73,0.92,83.63,23.7,80.03
North,Electronics,Regional,International,Road,Medium,Optimal,2043,2162.0,1441.0,1793,15.93,2288.3,1301.14,3,11.78,87.58,94.18,1.42,76.41,28.26,68.03
East,Industrial Supplies,Central,Distributor,Road,Medium,Overstocked,963,1041.0,1585.0,1107,16.4,2046.73,1392.47,0,12.65,67.24,91.9,0.61,76.32,19.64,60.69
East,FMCG,Central,Distributor,Road,High,Overstocked,2406,2424.0,3009.0,1649,17.73,5071.51,6068.49,0,8.15,86.45,99.25,0.8,88.2,18.03,69.26
North,Electronics,Local,International,Air,Low,Optimal,727,623.0,681.0,545,13.4,3914.32,1201.15,2,2.53,65.79,85.69,1.07,79.46,25.79,76.67
West,FMCG,Local,Distributor,Road,High,Optimal,1819,1801.0,2035.0,1686,9.56,3744.19,3305.2,3,3.05,83.8,99.01,0.89,85.89,19.96,81.38
North,FMCG,Local,Local,Sea,High,Optimal,2103,2147.0,1614.0,1090,7.86,2927.58,2015.99,2,5.57,79.1,97.91,1.3,84.03,15.36,76.6
West,Industrial Supplies,Local,Distributor,Road,Medium,Optimal,1368,1671.0,1214.0,1163,14.14,3058.96,1082.81,1,6.58,96.89,77.85,1.13,82.67,26.33,79.65
South,Electronics,Central,Local,Road,Medium,Optimal,1299,1174.0,1000.0,1012,13.14,1221.02,1854.47,1,7.83,87.88,90.38,1.3,83.55,20.32,78.21
East,FMCG,Local,International,Air,Low,Overstocked,982,1124.0,1807.0,1075,9.8,2971.41,2962.61,2,4.28,92.77,85.54,0.54,84.41,22.25,83.19
East,Electronics,Central,International,Road,Medium,Stockout Risk,821,931.0,1014.0,822,14.4,1432.48,957.45,3,9.09,80.72,86.6,0.81,74.73,29.76,73.11
South,FMCG,Local,International,Air,Medium,Overstocked,1878,1379.0,3097.0,1070,22.27,5107.99,4812.45,2,8.56,85.2,73.43,0.61,74.0,39.56,67.99
East,Apparel,Central,Distributor,Road,High,Overstocked,1637,1399.0,1937.0,753,4.64,2863.36,3680.51,1,3.79,89.95,85.46,0.85,86.39,13.79,83.55
North,FMCG,Regional,Local,Road,Medium,Overstocked,1859,2005.0,3032.0,1279,4.52,3607.78,5721.93,0,3.19,71.52,92.15,0.61,86.94,7.66,77.7
South,FMCG,Regional,Local,Air,Medium,Overstocked,2562,2546.0,3523.0,1826,14.7,6154.06,6644.36,2,5.96,99.0,99.38,0.73,89.13,21.62,75.19
North,Apparel,Regional,Distributor,Sea,Medium,Optimal,1121,1119.0,1546.0,1026,17.32,2508.79,1277.16,3,10.54,77.41,99.82,0.73,77.08,27.39,67.01
North,FMCG,Central,Distributor,Sea,High,Stockout Risk,1545,1232.0,1618.0,1069,21.98,5126.81,1280.0,4,12.75,81.75,79.74,0.95,66.71,43.42,58.54
East,Apparel,Local,International,Sea,Medium,Stockout Risk,1520,1766.0,1072.0,1477,22.92,4409.93,914.11,2,9.09,62.64,83.82,1.42,71.46,36.06,61.59
North,Industrial Supplies,Regional,International,Sea,High,Optimal,1239,1395.0,1616.0,966,10.42,3028.67,3143.29,4,8.43,93.99,87.41,0.77,76.77,28.79,75.14
West,Industrial Supplies,Regional,International,Road,Medium,Overstocked,1228,1184.0,1903.0,782,13.24,1262.22,1638.39,2,7.45,71.06,96.42,0.65,79.62,21.34,73.84
West,Home Goods,Regional,International,Road,Medium,Optimal,775,815.0,1109.0,581,10.12,837.52,1558.72,1,3.21,68.25,94.84,0.7,84.82,15.52,82.34
East,FMCG,Regional,Distributor,Road,Medium,Stockout Risk,1929,2095.0,1439.0,1343,9.33,2907.3,2665.79,2,4.46,96.68,91.39,1.34,87.25,19.44,84.14
West,Apparel,Local,Local,Road,Low,Overstocked,697,689.0,724.0,531,3.85,1317.02,1225.62,0,1.0,70.99,98.85,0.96,91.34,4.31,86.6
East,FMCG,Local,Local,Air,Medium,Optimal,2255,2629.0,1873.0,2242,5.6,12186.18,1680.09,2,1.0,90.76,83.41,1.2,86.44,18.9,70.31
East,Home Goods,Local,Distributor,Sea,Medium,Stockout Risk,554,552.0,386.0,615,11.71,732.76,514.25,3,8.7,93.49,99.64,1.44,82.88,21.85,79.15
East,FMCG,Regional,Local,Road,Medium,Optimal,875,902.0,715.0,714,9.27,782.8,1113.06,2,5.82,70.66,96.91,1.22,81.32,17.17,77.96
West,Electronics,Central,Local,Road,Low,Overstocked,374,351.0,713.0,317,8.94,396.8,1182.75,0,5.8,99.0,93.85,0.52,91.8,11.4,87.29
North,Home Goods,Regional,Distributor,Road,Low,Optimal,1018,1158.0,1348.0,615,4.46,1913.57,1728.81,1,2.94,67.2,86.25,0.76,81.83,13.29,80.37
South,Home Goods,Local,International,Road,Medium,Overstocked,1439,1661.0,2669.0,993,8.47,3017.29,3561.09,0,2.23,75.0,84.57,0.54,86.12,14.64,81.87
West,Industrial Supplies,Local,Local,Air,Medium,Optimal,1137,1206.0,1420.0,837,3.85,2309.23,2021.88,1,1.0,68.27,93.93,0.8,86.72,9.61,83.76
West,Apparel,Central,Local,Sea,Low,Optimal,513,582.0,488.0,545,10.95,1228.72,607.61,1,8.83,70.91,86.55,1.05,76.97,19.66,71.1
West,FMCG,Central,Local,Sea,Low,Overstocked,1119,1195.0,1631.0,867,13.39,3185.01,3620.86,0,8.41,73.32,93.21,0.69,82.54,16.11,68.66
East,Electronics,Local,Local,Sea,Low,Overstocked,1292,1131.0,2211.0,1046,9.08,3427.29,1587.38,0,4.63,82.22,87.54,0.58,86.56,14.06,78.4
South,Apparel,Central,Local,Road,High,Overstocked,1670,1556.0,3005.0,1398,11.55,1941.47,6666.6,1,5.9,77.65,93.17,0.56,83.9,17.61,77.52
East,Electronics,Central,International,Sea,Low,Optimal,709,620.0,978.0,896,28.66,2182.06,1684.44,2,11.78,77.01,87.45,0.72,73.64,40.35,65.08
East,Industrial Supplies,Regional,Distributor,Road,Medium,Optimal,1257,1433.0,1536.0,1017,6.13,1573.98,2997.92,3,3.88,80.42,86.0,0.82,79.66,21.73,83.15
South,FMCG,Central,Local,Road,Medium,Optimal,1970,1637.0,2158.0,1010,14.0,3641.37,2394.18,1,7.81,80.84,83.1,0.91,79.26,24.09,71.18
North,Electronics,Regional,Distributor,Air,High,Stockout Risk,2483,2537.0,2548.0,1577,9.09,5438.3,3763.84,4,3.22,74.38,97.83,0.97,80.73,23.29,74.75
North,Home Goods,Regional,International,Sea,High,Overstocked,1792,1770.0,3184.0,1725,16.11,3667.02,2191.3,0,8.73,77.15,98.77,0.56,85.13,16.6,68.19
East,FMCG,Central,Distributor,Sea,Medium,Optimal,1628,1557.0,1711.0,1208,18.22,3673.06,3864.58,0,10.88,93.88,95.64,0.95,86.06,19.96,68.89
South,Industrial Supplies,Regional,Distributor,Sea,Medium,Overstocked,803,754.0,1405.0,591,8.71,1521.16,2716.36,3,5.45,68.46,93.9,0.57,77.86,21.15,76.53
West,FMCG,Regional,International,Air,Low,Optimal,664,623.0,509.0,525,14.58,2918.1,869.53,0,5.26,83.05,93.83,1.3,88.34,17.05,78.43
North,Apparel,Local,Distributor,Sea,Medium,Overstocked,1426,1496.0,2311.0,1066,8.52,4762.49,1989.98,0,6.11,68.65,95.09,0.62,84.33,10.48,68.63
East,FMCG,Regional,International,Air,High,Overstocked,3478,2865.0,4807.0,1750,5.45,11591.87,8561.98,1,2.35,67.3,82.37,0.72,81.08,15.83,61.78
West,Apparel,Central,Local,Road,Medium,Overstocked,1308,1073.0,1928.0,774,3.65,3044.59,3358.51,1,3.72,80.09,82.03,0.68,82.79,14.17,80.36
North,FMCG,Regional,Distributor,Road,Low,Optimal,1245,1364.0,1200.0,1152,8.13,2643.97,1275.0,2,5.6,65.24,90.44,1.04,77.92,18.62,72.96
South,Industrial Supplies,Regional,International,Road,Low,Stockout Risk,657,577.0,508.0,625,12.39,1202.64,950.64,6,8.54,82.35,87.82,1.29,69.45,37.26,75.17
South,Industrial Supplies,Local,Local,Road,High,Optimal,2310,1822.0,3364.0,1350,6.29,3023.22,5436.51,1,2.34,71.18,78.87,0.69,80.84,18.07,80.49
South,Home Goods,Central,International,Air,Medium,Optimal,936,1017.0,796.0,1110,22.81,3480.76,1722.86,1,10.17,82.3,91.35,1.18,80.16,29.6,67.23
East,Industrial Supplies,Local,Local,Road,High,Overstocked,1272,1179.0,1488.0,775,10.96,1460.37,1421.93,0,6.41,87.36,92.69,0.85,87.87,13.88,80.4
South,Apparel,Central,Distributor,Road,Low,Overstocked,451,426.0,541.0,329,6.72,477.17,428.05,0,3.86,71.25,94.46,0.83,87.01,8.94,82.68
North,Apparel,Central,International,Road,Medium,Optimal,1426,1178.0,1617.0,1244,21.74,1207.01,3463.74,1,8.18,74.65,82.61,0.88,77.17,32.03,73.57
South,FMCG,Regional,International,Air,Low,Stockout Risk,1285,1478.0,1043.0,775,6.09,3667.72,1787.5,4,1.95,77.17,84.98,1.23,78.2,25.43,81.75
North,FMCG,Regional,Local,Sea,Medium,Stockout Risk,1678,1552.0,737.0,1000,17.09,4079.05,489.36,3,9.87,77.23,92.49,2.28,75.14,30.09,65.09
East,Electronics,Local,International,Sea,Medium,Optimal,1698,1669.0,1425.0,1620,30.0,4049.88,784.33,0,13.97,81.07,98.29,1.19,80.7,30.68,58.1
East,Industrial Supplies,Regional,International,Road,High,Optimal,1963,1919.0,2928.0,1893,20.37,3260.41,5485.45,2,7.21,71.38,97.76,0.67,80.41,27.93,70.33
North,Industrial Supplies,Regional,International,Sea,Medium,Stockout Risk,570,555.0,392.0,637,18.57,1346.45,282.27,3,8.74,86.83,97.37,1.45,80.38,29.62,75.82
West,Industrial Supplies,Regional,Local,Road,Medium,Optimal,947,926.0,945.0,651,8.18,1042.03,829.57,2,7.05,81.29,97.78,1.0,83.05,15.73,78.16
East,Apparel,Central,Local,Road,Medium,Overstocked,1373,1599.0,2051.0,1284,6.09,2267.63,1831.53,1,3.48,81.19,83.54,0.67,83.83,16.01,82.76
North,Electronics,Regional,International,Air,Medium,Overstocked,1821,1855.0,2594.0,1633,6.59,4610.86,4379.82,0,2.91,68.08,98.13,0.7,88.46,7.34,75.17
South,Home Goods,Local,Local,Sea,High,Stockout Risk,1006,1190.0,1006.0,1043,19.56,2795.99,1549.14,3,7.64,94.32,81.71,1.0,77.87,36.88,77.3
East,Electronics,Central,International,Air,Low,Optimal,1096,1011.0,1528.0,777,12.84,4759.16,2646.59,1,3.73,65.42,92.24,0.72,82.69,19.28,72.43
West,Electronics,Central,Local,Sea,Medium,Optimal,1568,1316.0,1136.0,854,24.93,3627.76,2402.64,1,17.73,99.0,83.93,1.38,74.17,34.69,56.82
North,FMCG,Central,International,Air,High,Overstocked,1823,2199.0,3620.0,1242,19.44,4588.44,5849.23,0,10.49,89.39,79.37,0.5,79.64,27.69,66.45
West,Home Goods,Regional,Distributor,Road,Medium,Optimal,1749,1496.0,1947.0,951,14.7,1808.76,1496.51,1,6.98,71.08,85.53,0.9,78.5,23.82,73.66
North,FMCG,Local,Local,Road,Medium,Optimal,1168,1486.0,1594.0,1218,6.03,1256.11,1259.11,1,3.87,78.64,72.77,0.73,79.04,20.25,83.28
East,FMCG,Regional,International,Road,High,Optimal,3010,2466.0,4358.0,1513,14.45,2444.74,7839.45,4,6.48,78.17,81.93,0.69,72.85,35.01,75.49
North,Apparel,Regional,International,Sea,Medium,Optimal,1526,1688.0,2145.0,1626,27.79,3635.32,2019.62,2,13.75,71.79,89.38,0.71,71.04,38.7,56.6
East,Apparel,Local,Local,Road,Low,Overstocked,1050,1123.0,1312.0,855,9.87,1000.61,1521.75,0,4.27,90.83,93.05,0.8,91.0,12.65,86.66
North,Electronics,Central,Local,Sea,High,Overstocked,2046,2184.0,3411.0,1714,13.83,4828.75,6502.38,0,9.19,92.36,93.26,0.6,86.54,16.53,69.45
West,Industrial Supplies,Local,International,Road,Low,Stockout Risk,971,1023.0,1140.0,993,15.54,1079.41,1405.6,4,7.87,74.12,94.64,0.85,74.9,31.02,74.29
East,FMCG,Local,Local,Air,Low,Optimal,1106,1063.0,1138.0,737,1.0,5566.41,948.8,1,1.0,78.13,96.11,0.97,89.95,5.89,80.05
North,Home Goods,Local,Distributor,Air,High,Overstocked,1855,1770.0,3217.0,1028,9.49,7386.56,4941.38,0,3.0,88.93,95.42,0.58,92.63,11.32,75.57
South,Electronics,Local,Distributor,Road,High,Optimal,2326,2027.0,2058.0,1228,7.89,3414.14,2491.27,0,4.1,90.92,87.15,1.13,89.13,13.03,82.09
North,Apparel,Regional,Distributor,Road,Medium,Optimal,760,913.0,541.0,635,5.84,727.67,702.05,2,4.73,81.01,79.87,1.4,79.03,20.56,83.35
West,FMCG,Local,International,Road,Medium,Overstocked,213,185.0,282.0,481,18.16,493.33,178.55,0,6.46,62.0,86.85,0.76,79.44,23.42,74.67
West,Home Goods,Regional,Distributor,Road,Low,Overstocked,1102,1066.0,2070.0,868,17.25,2234.47,2784.36,1,12.62,86.17,96.73,0.53,80.56,21.89,66.04
South,Industrial Supplies,Local,International,Road,Low,Optimal,937,708.0,1387.0,767,16.04,1227.9,1948.46,2,5.94,70.07,75.56,0.68,73.58,32.48,76.63
West,FMCG,Local,Distributor,Road,Low,Overstocked,1480,1153.0,2613.0,899,7.87,2890.42,2807.34,1,5.4,97.38,77.91,0.57,83.99,20.04,82.5
South,Electronics,Regional,Local,Road,Medium,Optimal,683,492.0,695.0,330,2.31,1289.43,858.55,2,2.07,83.85,72.04,0.98,79.66,20.16,88.38
West,Home Goods,Regional,Local,Road,Medium,Overstocked,1563,1709.0,2477.0,1095,15.9,3631.6,1751.13,3,6.08,84.14,90.66,0.63,80.02,29.64,75.65
North,Apparel,Central,Distributor,Road,Low,Overstocked,918,1015.0,1227.0,786,13.32,1224.12,1611.93,0,7.22,82.45,89.43,0.75,84.69,17.55,77.79
West,FMCG,Local,Distributor,Road,Low,Optimal,835,860.0,773.0,829,17.49,1724.89,706.04,2,8.03,68.58,97.01,1.08,78.62,25.35,70.99
North,FMCG,Central,Distributor,Road,Medium,Overstocked,2825,2227.0,4000.0,1927,10.84,2907.66,7693.03,0,4.92,82.63,78.83,0.71,83.33,19.31,79.0
East,FMCG,Regional,International,Road,Medium,Optimal,2169,2198.0,2324.0,1219,20.6,5015.24,2634.74,3,10.2,87.36,98.66,0.93,79.5,31.13,65.55
North,FMCG,Local,International,Road,Medium,Optimal,2263,2245.0,3235.0,1404,19.57,2132.65,2378.93,0,7.98,90.34,99.2,0.7,89.32,19.89,76.78
East,FMCG,Central,International,Road,High,Stockout Risk,2117,2087.0,1153.0,1784,18.86,1989.27,1941.19,4,12.73,83.37,98.58,1.84,73.73,32.76,65.48
South,Home Goods,Regional,Distributor,Road,Low,Optimal,1159,1159.0,1722.0,778,17.92,2719.66,2231.96,3,9.21,75.5,100.0,0.67,78.0,27.92,68.67
North,FMCG,Regional,Local,Sea,Medium,Optimal,1058,1012.0,1331.0,854,20.57,1894.74,2509.84,1,15.45,75.61,95.65,0.79,74.71,25.64,57.91
East,FMCG,Central,Distributor,Sea,Medium,Optimal,2811,3006.0,2273.0,1715,9.01,4195.72,5044.36,0,4.89,78.31,93.06,1.24,87.26,11.78,75.13
North,Industrial Supplies,Regional,Local,Road,Low,Optimal,498,527.0,633.0,599,10.25,1083.69,1218.87,2,7.12,85.03,94.18,0.79,82.66,19.25,79.05
North,FMCG,Regional,International,Road,Medium,Overstocked,1304,1549.0,2243.0,1444,11.45,1783.66,2580.43,2,6.26,88.59,81.21,0.58,79.87,25.63,80.41
North,Home Goods,Local,International,Road,High,Overstocked,1442,1228.0,1915.0,861,16.36,1223.71,3374.41,0,11.01,91.42,85.16,0.75,81.65,22.3,72.9
North,Industrial Supplies,Local,Local,Sea,High,Stockout Risk,1179,1060.0,1149.0,976,15.1,2642.84,1501.8,6,9.78,73.45,89.91,1.03,66.72,39.14,67.07
East,Home Goods,Local,Distributor,Sea,Medium,Optimal,1329,1541.0,1715.0,1303,15.38,3597.09,2604.45,2,8.0,90.22,84.05,0.77,79.53,28.43,73.71
North,FMCG,Central,Local,Sea,High,Overstocked,981,1048.0,1634.0,740,10.6,2626.44,1345.26,0,8.06,72.02,93.17,0.6,82.55,13.33,70.11
North,Industrial Supplies,Regional,Distributor,Sea,Medium,Stockout Risk,456,383.0,391.0,576,18.72,934.97,540.92,4,12.49,93.92,83.99,1.17,71.5,38.46,71.28
North,Electronics,Regional,International,Sea,Low,Optimal,787,668.0,1028.0,665,21.37,2473.42,672.25,1,11.66,81.8,84.88,0.77,76.28,30.75,66.16
North,Electronics,Regional,Distributor,Road,High,Stockout Risk,926,991.0,552.0,716,17.72,1907.0,882.61,5,13.04,74.66,92.98,1.68,67.06,37.19,62.42
West,FMCG,Central,Local,Sea,Medium,Optimal,1457,1480.0,1816.0,1370,24.34,3334.8,3217.81,0,15.27,99.0,98.42,0.8,83.93,24.97,62.34
East,FMCG,Regional,Distributor,Road,High,Overstocked,2348,2170.0,2884.0,1308,8.15,1993.2,4271.69,0,6.13,88.62,92.42,0.81,88.37,11.18,80.25
North,Electronics,Local,Local,Road,Medium,Stockout Risk,1195,1181.0,973.0,833,3.86,1723.28,683.45,4,2.94,73.13,98.83,1.23,81.04,17.66,82.53
West,Apparel,Central,International,Road,Medium,Optimal,1665,1815.0,2354.0,1340,11.18,3884.02,4071.99,1,6.28,69.9,90.99,0.71,80.82,18.12,70.47
East,Apparel,Regional,Distributor,Road,High,Optimal,2148,2603.0,1971.0,2223,13.3,2969.48,2039.48,4,8.19,80.87,78.82,1.09,70.73,35.11,71.81
West,FMCG,Central,Local,Road,Medium,Optimal,1648,1495.0,1716.0,939,11.72,1349.68,3291.91,1,7.0,95.35,90.72,0.96,86.37,18.77,81.84
North,Home Goods,Local,Local,Sea,Low,Overstocked,711,673.0,768.0,789,15.34,2228.31,951.69,3,10.22,90.53,94.66,0.93,78.88,27.48,72.16
South,Electronics,Local,Distributor,Sea,High,Optimal,1363,1243.0,1513.0,959,23.38,2260.24,1922.33,0,11.03,84.45,91.2,0.9,82.0,26.9,68.65
East,Apparel,Central,Local,Road,Medium,Overstocked,1366,1398.0,1589.0,1232,7.78,2751.39,1838.54,2,6.64,83.61,97.66,0.86,84.0,15.38,76.18
